home_team,away_team,week,posteam,defteam,side_of_field,yardline_100,down,play_type,yards_gained,qb_kneel,qb_spike,qb_scramble,field_goal_result,extra_point_result,two_point_conv_result,td_team,epa,third_down_converted,fourth_down_converted,interception,penalty,fumble_lost,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,kickoff_attempt,complete_pass,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,fumbled_1_player_name,penalty_team,penalty_yards,result
TEN,ARI,1,ARI,TEN,ARI,65.0,1.0,run,4.0,0,0,0,,,,,-0.0440347990952432,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C.Edmonds,4.0,,,,-25
TEN,ARI,1,ARI,TEN,ARI,61.0,2.0,pass,3.0,0,0,0,,,,,-0.376883017132059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Murray,3.0,D.Hopkins,3.0,,,,,,-25
TEN,ARI,1,ARI,TEN,ARI,58.0,3.0,pass,0.0,0,0,0,,,,,-1.6764212732669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K.Murray,,A.Green,,,,,,,-25
TEN,ARI,1,ARI,TEN,ARI,58.0,4.0,punt,0.0,0,0,0,,,,,-0.576709021814168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,-25
TEN,ARI,1,TEN,ARI,TEN,80.0,1.0,pass,-6.0,0,0,0,,,,,-1.44031605217606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R.Tannehill,,,,,,,,,-25
TEN,ARI,1,TEN,ARI,TEN,86.0,2.0,pass,4.0,0,0,0,,,,,-0.472422538325191,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,R.Tannehill,4.0,C.Rogers,4.0,,,,,,-25
TEN,ARI,1,TEN,ARI,TEN,82.0,3.0,pass,8.0,0,0,0,,,,,-0.260466338600963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,R.Tannehill,8.0,J.McNichols,8.0,,,,,,-25
TEN,ARI,1,TEN,ARI,TEN,74.0,4.0,pass,6.0,0,0,0,,,,,3.06227189977653,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M.Farley,6.0,A.Hooker,6.0,,,,,,-25
TEN,ARI,1,TEN,ARI,TEN,68.0,1.0,run,-1.0,0,0,0,,,,,-0.909727380145341,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,D.Henry,-1.0,,,,-25
TEN,ARI,1,TEN,ARI,TEN,69.0,2.0,run,2.0,0,0,0,,,,,-0.55704533145763,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,D.Henry,2.0,,,,-25
