raw_name,normalized_name,position
K.Hodge,KHodge,WR
T.Lockett,TLockett,WR
J.Sanders,JSanders,WR
C.Sutton,CSutton,WR
E.Ayomanor,EAyomanor,WR
C.Ridley,CRidley,WR
T.Sherfield,TSherfield,WR
J.Higgins,JHiggins,WR
T.Hill,THill,WR
J.Waddle,JWaddle,WR
J.Dotson,JDotson,WR
R.Doubs,RDoubs,WR
D.Wicks,DWicks,WR
J.Tolbert,JTolbert,WR
T.Warren,TWarren,WR
M.Taylor,MTaylor,WR
R.McCloud,RMcCloud,WR
D.London,DLondon,WR
M.Evans,MEvans,WR
I.TeSlaa,ITeSlaa,WR
S.Diggs,SDiggs,WR
D.Thornton,DThornton,WR
J.Meyers,JMeyers,WR
A.Bachman,ABachman,WR
J.Bech,JBech,WR
K.Boutte,KBoutte,WR
X.Smith,XSmith,WR
J.Smith-Schuster,JSmithSchuster,WR
T.Thornton,TThornton,WR
C.Olave,COlave,WR
O.Zaccheaus,OZaccheaus,WR
A.St. Brown,AStBrown,WR
K.Raymond,KRaymond,WR
J.Coker,JCoker,WR
B.Berrios,BBerrios,WR
A.Gould,AGould,WR
M.Tipton,MTipton,WR
R.Chosen,RChosen,WR
I.Bond,IBond,WR
D.Eskridge,DEskridge,WR
A.Mitchell,AMitchell,WR
J.Downs,JDowns,WR
G.Smith,GSmith,TE
M.Alie-Cox,MAlieCox,TE
T.Conner,TConner,TE
T.Hockenson,THockenson,TE
C.Loveland,CLoveland,TE
J.Tonges,JTonges,TE
L.Farrell,LFarrell,TE
E.Arroyo,EArroyo,TE
G.Kittle,GKittle,TE
J.Ruckert,JRuckert,TE
T.Kelce,TKelce,TE
C.Parkinson,CParkinson,TE
A.Hooper,AHooper,TE
H.Henry,HHenry,TE
B.Bowers,BBowers,TE
W.Dissly,WDissly,TE
M.Mayer,MMayer,TE
P.Freiermuth,PFreiermuth,TE
D.Bellinger,DBellinger,TE
Z.Ertz,ZErtz,TE
N.Gray,NGray,TE
C.Stover,CStover,TE
C.Kmet,CKmet,TE
S.LaPorta,SLaPorta,TE
L.Musgrave,LMusgrave,TE
D.Schultz,DSchultz,TE
B.Spann-Ford,BSpannFord,TE
J.Mundt,JMundt,TE
C.Otton,COtton,TE
K.Pitts,KPitts,TE
Z.Mitchell-Paden,ZMitchellPaden,TE
H.Long,HLong,TE
K.Granson,KGranson,TE
C.Okonkwo,COkonkwo,TE
A.Trautman,ATrautman,TE
L.Krull,LKrull,TE
G.Helm,GHelm,TE
D.Goedert,DGoedert,TE
J.FitzPatrick,JFitzPatrick,TE
L.Schoonmaker,LSchoonmaker,TE
B.Strange,BStrange,TE
T.Tremble,TTremble,TE
G.Calcaterra,GCalcaterra,TE
B.Willis,BWillis,TE
H.Bryant,HBryant,TE
T.McBride,TMcBride,TE
C.Grandy,CGrandy,TE
T.Fisk,TFisk,TE
C.Kolar,CKolar,TE
C.Manhertz,CManhertz,TE
J.Stoll,JStoll,TE
E.Saubert,ESaubert,TE
T.Higbee,THigbee,TE
E.Higgins,EHiggins,TE
N.Fant,NFant,TE
M.Gesicki,MGesicki,TE
D.Sample,DSample,TE
T.Reiman,TReiman,TE
D.Knox,DKnox,TE
D.Kincaid,DKincaid,TE
J.Hawes,JHawes,TE
A.Okwuegbunam,AOkwuegbunam,TE
I.Thomas,IThomas,TE
